"会員ID","都道府県","市区町村","年齢","性別","商品券決済日時","商品券決済場所","商品券決済金額"
103066,"福井県","福井市",42,"女性",2022/10/08 10:01,"福井WAZABI",5000
103066,"福井県","福井市",42,"女性",2022/10/08 10:01,"福井WAZABI",5000
103066,"福井県","福井市",42,"女性",2022/10/08 15:56,"はごろもシフォン",1000
103066,"福井県","福井市",42,"女性",2022/10/09 12:18,"株式会社乾レンズ",1000
101180,"福井県","福井市",33,"女性",2022/10/07 11:32,"漆琳堂　直営店",4100
101180,"福井県","福井市",33,"女性",2022/10/07 11:54,"Hacoa DIRECT STORE 福井店",1048
101180,"福井県","福井市",33,"女性",2022/10/07 11:54,"Hacoa DIRECT STORE 福井店",1048
101180,"福井県","福井市",33,"女性",2022/10/07 11:54,"Hacoa DIRECT STORE 福井店",0
101180,"福井県","福井市",33,"女性",2022/10/07 11:55,"Hacoa DIRECT STORE 福井店",573
101180,"福井県","福井市",33,"女性",2022/10/07 12:16,"ミート＆デリカささき",640
101180,"福井県","福井市",33,"女性",2022/10/08 10:40,"雲職人ニュアージュ",3050
101180,"福井県","福井市",33,"女性",2022/10/08 10:44,"RENEW TRAVEL STAND",500
101180,"福井県","福井市",33,"女性",2022/10/08 11:50,"漆器久太郎",2000
101180,"福井県","福井市",33,"女性",2022/10/08 12:34,"KISSO　STORE",1137
101060,"福井県","越前市",36,"女性",2022/10/07 11:49,"越前セラミカ",500
101060,"福井県","越前市",36,"女性",2022/10/07 14:17,"まちひとしごと受付",1000
101060,"福井県","越前市",36,"女性",2022/10/07 15:30,"SAVA!STORE",4500
108839,"福井県","越前市",39,"女性",2022/10/08 14:07,"ミート＆デリカささき",640
108839,"福井県","越前市",39,"女性",2022/10/08 15:04,"清水和紙株式会社",5000
103019,"福井県","福井市",44,"男性",2022/10/08 10:38,"SAVA!STORE",2400
103019,"福井県","福井市",44,"男性",2022/10/08 15:53,"中川政七商店",3300
103019,"福井県","福井市",44,"男性",2022/10/09 10:46,"大吉餅",500
103019,"福井県","福井市",44,"男性",2022/10/09 10:48,"大吉餅",500
103019,"福井県","福井市",44,"男性",2022/10/09 11:14,"ataW",1358
116341,"福井県","福井市",55,"女性",2022/10/09 10:28,"まちひとしごと受付",500
116341,"福井県","福井市",55,"女性",2022/10/09 12:45,"中川政七商店",4180
116341,"福井県","福井市",55,"女性",2022/10/09 13:26,"漆琳堂　直営店",495
116341,"福井県","福井市",55,"女性",2022/10/09 15:55,"タケフナイフビレッジ",825
104901,"福井県","福井市",34,"男性",2022/10/07 15:02,"Hacoa DIRECT STORE 福井店",400
104901,"福井県","福井市",34,"男性",2022/10/08 16:41,"中川政七商店",5600
105960,"福井県","鯖江市",42,"女性",2022/10/07 9:59,"株式会社サカエマーク",3000
105960,"福井県","鯖江市",42,"女性",2022/10/07 11:26,"株式会社サカエマーク",1000
105960,"福井県","鯖江市",42,"女性",2022/10/07 13:41,"Hacoa DIRECT STORE 福井店",2000
105960,"福井県","鯖江市",42,"女性",2022/10/07 13:48,"Hacoa DIRECT STORE 福井店",3300
105960,"福井県","鯖江市",42,"女性",2022/10/07 13:55,"Hacoa DIRECT STORE 福井店",1050
105960,"福井県","鯖江市",42,"女性",2022/10/07 14:34,"Hacoa DIRECT STORE 福井店",500
105960,"福井県","鯖江市",42,"女性",2022/10/07 14:39,"Hacoa DIRECT STORE 福井店",400
105960,"福井県","鯖江市",42,"女性",2022/10/07 15:42,"めがねミュージアム",750
105296,"福井県","坂井市",63,"男性",2022/10/08 16:20,"うるしの里会館",2140
105296,"福井県","坂井市",63,"男性",2022/10/08 16:24,"RENEW TRAVEL STAND",500
105296,"福井県","坂井市",63,"男性",2022/10/08 17:14,"うるしの里会館",3360
126381,"福井県","あわら市",57,"男性",2022/10/09 10:29,"土直漆器直営店",3960
126381,"福井県","あわら市",57,"男性",2022/10/09 13:13,"豊彩窯−吉田豊一",2000
101234,"福井県","福井市",30,"女性",2022/10/09 11:00,"大吉餅",500
101234,"福井県","福井市",30,"女性",2022/10/09 12:59,"駒本蒔絵工房　KOMAYA",1500
123551,"福井県","越前市",39,"女性",2022/10/08 13:40,"RYOZO",660
123551,"福井県","越前市",39,"女性",2022/10/08 16:00,"漆琳堂　直営店",770
123551,"福井県","越前市",39,"女性",2022/10/08 16:15,"Hacoa DIRECT STORE 福井店",400
123551,"福井県","越前市",39,"女性",2022/10/08 16:49,"中川政七商店",810
123551,"福井県","越前市",39,"女性",2022/10/09 12:43,"土直漆器直営店",1650
123551,"福井県","越前市",39,"女性",2022/10/09 13:20,"漆器久太郎",1500
123551,"福井県","越前市",39,"女性",2022/10/09 14:10,"雲職人ニュアージュ",700
123551,"福井県","越前市",39,"女性",2022/10/09 14:49,"ataW",2250
123551,"福井県","越前市",39,"女性",2022/10/09 15:58,"PlusJack",2800
123551,"福井県","越前市",39,"女性",2022/10/09 16:09,"PlusJack",460
108124,"福井県","福井市",25,"女性",2022/10/07 11:01,"八田経編株式会社",600
108124,"福井県","福井市",25,"女性",2022/10/07 12:05,"五十嵐製紙",500
108124,"福井県","福井市",25,"女性",2022/10/08 11:02,"土直漆器直営店",8400
108124,"福井県","福井市",25,"女性",2022/10/08 12:22,"ataW",1726
108124,"福井県","福井市",25,"女性",2022/10/08 12:50,"小柳箪笥店（kicoru）",1700
108124,"福井県","福井市",25,"女性",2022/10/08 13:31,"小柳箪笥店（kicoru）",820
108124,"福井県","福井市",25,"女性",2022/10/09 16:35,"SAVA!STORE",1400
108518,"福井県","坂井市",53,"女性",2022/10/09 12:52,"ataW",2000
103026,"福井県","福井市",43,"女性",2022/10/09 10:44,"大吉餅",900
103026,"福井県","福井市",43,"女性",2022/10/09 14:51,"タケフナイフビレッジ",1920
101207,"福井県","敦賀市",58,"男性",2022/10/07 16:02,"ataW",2200
101207,"福井県","敦賀市",58,"男性",2022/10/07 16:47,"KISSO　STORE",3800
102831,"福井県","坂井市",40,"男性",2022/10/07 14:29,"うるしの里会館",6000
102688,"福井県","福井市",67,"女性",2022/10/09 10:41,"中川政七商店",6000
