name,url,news
（公社）鯖江青年会議所,http://www.sabae-jc.jp/,
社会福祉法人鯖江市社会福祉協議会,http://www.sabae-shakyo.or.jp/,http://www.sabae-shakyo.or.jp/whatsnew/index.html
鯖江市国際交流協会,http://www.sabae-npo.org/sia/,
カルチャーネットさばえ,https://culturenet-sabae.com/,https://culturenet-sabae.com/event/
さばえスポーツクラブ,http://www.sabae-sc.or.jp/,
ZOOっとNet西山動物園友の会,https://www.facebook.com/zootto.net/,
福井県フォレストサポーターの会,http://fukui-fs.seesaa.net/,
鯖江市PTA連合会,http://cpta.main.jp/,
エコプラザさばえ,http://ecoplaza-sabae.jp/,
エコネットさばえ,https://www.ecoplaza-sabae.jp/econet-activity,
夢みらい館・さばえ,http://www4.ttn.ne.jp/~yumemirai/,
さわやかさばえボランティア虹,http://www4.ttn.ne.jp/~sawayaka.n/,
鯖江市連合青年団(鯖艦),https://www.facebook.com/sabakan.net/,
さばえ・ロボット・クラブ Roboject, http://sabarobo.jimdo.com/,
みらい塾,http://miraijuku.blog67.fc2.com/,
エル・コミュニティ,https://www.l-community.com/,https://www.l-community.com/blog/
学生団体with,http://with-sabae.com/,https://ameblo.jp/gakuren/entrylist.html
Code for Sabae,https://c4.sabae.cc/,
Code for FUKUI,https://code4fukui.github.io/,
